DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 10:05:25,IPv4,192.168.0.15,8.8.8.8,1,84
2025-06-23 10:05:25,IPv4,8.8.8.8,192.168.0.15,1,84
2025-06-23 10:05:25,IPv4,192.168.0.15,181.213.132.5,17,68
2025-06-23 10:05:25,IPv4,192.168.0.15,181.213.132.5,17,68
2025-06-23 10:05:25,IPv4,181.213.132.5,192.168.0.15,17,164
2025-06-23 10:05:25,IPv4,181.213.132.5,192.168.0.15,17,236
2025-06-23 10:05:25,IPv4,192.168.0.15,96.7.128.198,6,60
2025-06-23 10:05:25,IPv4,96.7.128.198,192.168.0.15,6,60
2025-06-23 10:05:25,IPv4,192.168.0.15,96.7.128.198,6,40
2025-06-23 10:05:25,IPv4,192.168.0.15,181.213.132.5,17,67
2025-06-23 10:05:25,IPv4,181.213.132.5,192.168.0.15,17,83
2025-06-23 10:05:25,IPv4,192.168.0.15,181.213.132.5,17,67
2025-06-23 10:05:25,IPv4,181.213.132.5,192.168.0.15,17,95
2025-06-23 10:05:28,IPv4,192.168.0.15,104.18.19.125,6,411
2025-06-23 10:05:28,IPv4,192.168.0.15,104.18.19.125,6,83
2025-06-23 10:05:28,IPv4,104.18.19.125,192.168.0.15,6,52
2025-06-23 10:05:28,IPv4,104.18.19.125,192.168.0.15,6,133
2025-06-23 10:05:28,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 10:05:28,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:28,IPv4,192.168.0.1,224.0.0.1,2,36
2025-06-23 10:05:29,IPv4,192.168.0.15,34.196.179.194,6,52
2025-06-23 10:05:29,IPv4,192.168.0.15,224.0.0.22,2,40
2025-06-23 10:05:29,IPv4,34.196.179.194,192.168.0.15,6,52
2025-06-23 10:05:30,IPv4,99.83.165.34,192.168.0.15,6,91
2025-06-23 10:05:30,IPv4,192.168.0.15,99.83.165.34,6,52
2025-06-23 10:05:30,IPv4,99.83.165.34,192.168.0.15,6,76
2025-06-23 10:05:30,IPv4,192.168.0.15,99.83.165.34,6,52
2025-06-23 10:05:30,IPv4,99.83.165.34,192.168.0.15,6,52
2025-06-23 10:05:30,IPv4,192.168.0.15,99.83.165.34,6,91
2025-06-23 10:05:30,IPv4,192.168.0.15,99.83.165.34,6,76
2025-06-23 10:05:30,IPv4,99.83.165.34,192.168.0.15,6,52
2025-06-23 10:05:30,IPv4,192.168.0.15,99.83.165.34,6,64
2025-06-23 10:05:30,IPv4,99.83.165.34,192.168.0.15,6,52
